Global_active_power,Global_intensity,Global_reactive_power,Sub_metering_1,Sub_metering_2,Voltage
2.878,12.600,0.060,0.000,17.0,237.170
1.848,8.400,0.112,0.000,18.0,238.590
3.494,14.600,0.144,0.000,17.0,237.430
3.420,14.200,0.000,0.000,17.0,237.730
3.226,13.800,0.000,0.000,18.0,237.200
1.948,9.000,0.000,0.000,17.0,238.410
3.392,14.200,0.000,0.000,17.0,236.600
3.368,14.200,0.000,0.000,17.0,236.120
3.378,14.200,0.000,0.000,17.0,236.540
1.872,8.600,0.000,0.000,18.0,238.480
3.212,13.600,0.000,0.000,17.0,237.270
3.346,14.000,0.000,0.000,17.0,237.060
3.308,14.000,0.072,0.000,17.0,236.490
3.302,13.800,0.072,0.000,17.0,236.280
2.360,10.800,0.064,0.000,18.0,236.890
2.652,11.800,0.046,0.000,17.0,236.640
3.392,14.200,0.000,1.000,17.0,236.580
3.398,14.200,0.000,2.000,17.0,236.830
3.424,14.400,0.046,1.000,17.0,237.750
1.860,8.400,0.066,2.000,18.0,239.690
3.250,13.800,0.082,1.000,17.0,238.950
3.502,14.800,0.172,1.000,18.0,236.460
3.484,14.600,0.170,2.000,17.0,235.980
3.478,14.600,0.168,1.000,17.0,235.850
1.696,7.600,0.194,2.000,17.0,238.190
3.494,14.800,0.170,1.000,17.0,236.280
3.482,14.600,0.170,1.000,17.0,236.400
3.480,14.600,0.170,2.000,17.0,236.460
3.474,14.600,0.168,1.000,17.0,236.280
2.308,10.600,0.184,1.000,18.0,237.330
2.926,12.800,0.178,2.000,17.0,237.090
3.472,14.600,0.170,1.000,17.0,236.390
3.480,14.600,0.170,1.000,17.0,236.750
3.454,14.600,0.168,2.000,17.0,235.730
3.464,14.600,0.170,1.000,17.0,236.030
1.786,8.200,0.096,1.000,18.0,237.680
3.182,13.600,0.000,1.000,17.0,235.990
3.378,14.200,0.000,2.000,17.0,236.260
3.372,14.200,0.000,1.000,17.0,236.030
3.362,14.200,0.000,1.000,17.0,235.700
3.112,13.400,0.000,1.000,17.0,236.080
1.614,7.400,0.056,0.000,17.0,237.310
3.358,14.200,0.000,0.000,17.0,236.140
3.388,14.200,0.000,0.000,17.0,236.610
3.392,14.200,0.000,0.000,17.0,236.930
2.810,12.400,0.000,0.000,18.0,237.970
2.180,10.000,0.000,0.000,17.0,238.020
3.370,14.200,0.000,0.000,17.0,236.060
3.326,14.000,0.000,0.000,17.0,234.450
2.778,12.000,0.000,0.000,9.0,235.310
2.358,9.800,0.000,0.000,0.0,237.100
0.960,5.600,0.054,0.000,0.0,238.680
1.606,7.800,0.000,0.000,0.0,238.760
2.350,9.800,0.000,0.000,0.0,238.590
2.428,10.000,0.068,0.000,0.0,238.870
2.078,9.200,0.072,0.000,0.0,238.970
0.780,4.600,0.090,0.000,0.0,239.930
2.426,10.000,0.068,0.000,0.0,239.050
2.412,10.000,0.066,0.000,0.0,238.460
2.428,10.000,0.070,0.000,0.0,239.680
1.530,7.600,0.084,0.000,0.0,240.720
1.388,7.200,0.086,0.000,0.0,240.870
2.424,10.000,0.070,0.000,0.0,239.710
2.428,10.000,0.072,0.000,0.0,239.890
2.388,10.000,0.070,0.000,0.0,239.480
0.376,1.600,0.100,0.000,0.0,241.640
2.202,9.600,0.074,0.000,0.0,240.070
2.430,10.000,0.070,0.000,0.0,239.770
2.346,9.600,0.052,0.000,0.0,240.050
1.916,8.600,0.054,0.000,0.0,239.750
0.384,2.400,0.000,0.000,0.0,240.580
2.334,9.600,0.060,0.000,0.0,239.200
2.320,9.600,0.060,0.000,0.0,238.840
2.306,9.600,0.062,0.000,0.0,238.390
2.306,9.600,0.064,0.000,0.0,238.390
0.436,2.800,0.000,0.000,0.0,241.060
1.584,7.800,0.050,0.000,0.0,240.890
2.328,9.600,0.062,0.000,0.0,239.460
2.326,9.600,0.062,0.000,0.0,239.270
2.334,9.600,0.060,0.000,0.0,239.570
1.846,8.400,0.054,0.000,0.0,239.990
0.284,1.200,0.000,0.000,0.0,242.040
2.342,9.800,0.060,0.000,0.0,239.890
2.392,10.000,0.000,0.000,0.0,239.910
2.414,10.000,0.000,0.000,0.0,240.020
2.414,10.000,0.000,0.000,0.0,239.970
0.754,4.400,0.086,0.000,0.0,241.270
1.420,7.400,0.178,0.000,0.0,238.640
2.468,10.400,0.162,0.000,0.0,237.470
2.474,10.400,0.164,0.000,0.0,238.050
2.488,10.400,0.168,0.000,0.0,239.030
1.810,8.600,0.182,0.000,0.0,240.280
0.674,4.000,0.200,0.000,0.0,241.360
2.444,10.200,0.094,0.000,0.0,239.420
2.410,10.000,0.068,0.000,0.0,238.900
2.412,10.000,0.070,0.000,0.0,239.130
2.206,9.400,0.072,0.000,0.0,239.370
0.370,1.600,0.100,0.000,0.0,241.580
2.104,9.200,0.076,0.000,0.0,240.110
2.404,10.000,0.068,0.000,0.0,238.730
2.418,10.000,0.070,0.000,0.0,239.520
2.342,9.600,0.000,0.000,0.0,239.740
1.262,6.800,0.046,0.000,0.0,240.960
0.852,5.200,0.000,0.000,0.0,241.640
2.340,9.600,0.060,0.000,0.0,240.050
2.336,9.600,0.060,0.000,0.0,240.070
2.334,9.600,0.060,0.000,0.0,239.990
2.330,9.600,0.060,0.000,0.0,239.740
1.038,6.000,0.000,0.000,0.0,241.170
0.386,2.400,0.000,0.000,0.0,242.390
2.350,9.600,0.060,0.000,0.0,240.410
2.346,9.600,0.060,0.000,0.0,240.500
2.346,9.600,0.060,0.000,0.0,240.550
1.834,8.400,0.052,0.000,0.0,240.970
1.222,6.600,0.046,0.000,0.0,241.580
2.342,9.600,0.060,0.000,0.0,240.210
2.334,9.600,0.060,0.000,0.0,239.980
1.666,8.000,0.052,0.000,0.0,240.650
1.198,6.600,0.000,0.000,0.0,241.680
2.350,9.600,0.058,0.000,0.0,240.700
2.398,9.800,0.000,0.000,0.0,240.700
2.444,10.200,0.072,0.000,0.0,240.110
0.406,2.000,0.098,0.000,0.0,241.710
2.434,10.000,0.072,0.000,0.0,240.130
2.502,10.400,0.136,0.000,0.0,240.240
2.518,10.400,0.176,0.000,0.0,240.530
1.516,7.600,0.190,0.000,0.0,241.360
1.498,7.600,0.188,0.000,0.0,241.020
2.508,10.400,0.174,0.000,0.0,240.060
2.504,10.400,0.174,0.000,0.0,240.090
2.492,10.400,0.172,0.000,0.0,239.490
0.814,4.800,0.204,0.000,0.0,242.160
2.304,9.800,0.180,0.000,0.0,240.950
2.530,10.400,0.182,0.000,0.0,241.740
2.378,9.800,0.000,0.000,0.0,241.180
0.384,2.400,0.000,0.000,0.0,243.730
2.370,9.800,0.058,0.000,0.0,241.480
2.358,9.600,0.058,0.000,0.0,241.130
2.352,9.600,0.058,0.000,0.0,240.960
0.416,2.400,0.000,0.000,0.0,242.940
2.654,11.000,0.062,0.000,0.0,240.740
2.540,10.400,0.060,0.000,0.0,241.230
2.526,10.800,0.058,0.000,0.0,241.790
1.206,5.400,0.000,0.000,0.0,241.830
3.844,16.600,0.148,0.000,0.0,238.710
4.122,17.600,0.140,0.000,0.0,237.990
3.458,14.800,0.000,0.000,0.0,238.890
1.988,9.200,0.050,0.000,0.0,240.260
0.596,2.400,0.000,0.000,0.0,240.880
1.290,6.800,0.000,0.000,0.0,240.690
2.730,11.400,0.060,1.000,0.0,239.430
2.734,11.400,0.062,2.000,0.0,239.810
2.764,11.400,0.066,1.000,0.0,241.270
2.586,11.000,0.070,1.000,0.0,241.630
1.044,4.400,0.152,2.000,0.0,242.730
1.520,7.400,0.220,1.000,0.0,242.200
3.038,12.600,0.194,2.000,0.0,240.140
2.974,12.400,0.194,1.000,0.0,239.970
2.846,11.800,0.198,2.000,0.0,240.390
2.848,11.800,0.198,1.000,0.0,240.590
2.858,11.800,0.202,1.000,0.0,241.140
2.472,10.800,0.208,2.000,0.0,241.620
0.658,3.000,0.244,1.000,0.0,243.750
0.838,4.800,0.334,2.000,0.0,242.090
2.608,10.800,0.298,1.000,0.0,239.450
2.598,10.800,0.296,1.000,0.0,239.440
2.560,10.800,0.286,2.000,0.0,238.710
2.526,10.600,0.278,1.000,0.0,236.950
2.472,10.400,0.194,1.000,0.0,237.550
1.658,8.000,0.166,1.000,0.0,238.480
0.422,1.800,0.184,2.000,0.0,239.790
0.790,4.600,0.178,1.000,0.0,239.470
2.436,10.200,0.120,1.000,0.0,238.510
2.396,10.000,0.056,1.000,0.0,239.030
2.338,9.800,0.000,1.000,0.0,238.370
2.304,9.600,0.062,0.000,0.0,238.380
0.276,1.200,0.000,0.000,0.0,240.560
0.712,4.600,0.000,0.000,0.0,239.840
2.332,9.600,0.060,0.000,0.0,239.110
2.344,9.600,0.058,0.000,0.0,239.990
2.354,9.800,0.058,0.000,0.0,240.640
2.332,9.600,0.060,0.000,0.0,239.450
2.368,9.800,0.056,0.000,0.0,241.400
0.612,4.000,0.000,0.000,0.0,243.680
0.286,1.200,0.000,0.000,0.0,244.030
1.952,8.800,0.050,0.000,0.0,242.070
2.376,9.800,0.056,0.000,0.0,241.860
2.374,9.800,0.056,0.000,0.0,241.700
2.406,10.000,0.000,0.000,0.0,240.000
1.004,5.600,0.094,0.000,0.0,242.000
0.388,1.600,0.104,0.000,0.0,242.580
1.458,7.400,0.090,0.000,0.0,242.300
2.480,10.200,0.078,0.000,0.0,241.860
2.454,10.200,0.074,0.000,0.0,240.760
2.468,10.200,0.078,0.000,0.0,241.520
2.028,9.000,0.084,0.000,0.0,241.880
0.382,1.600,0.108,0.000,0.0,243.650
0.902,5.200,0.098,0.000,0.0,242.620
2.466,10.200,0.076,0.000,0.0,241.430
2.456,10.200,0.076,0.000,0.0,241.180
2.450,10.000,0.074,0.000,0.0,240.820
2.448,10.000,0.074,0.000,0.0,240.780
0.930,5.600,0.000,0.000,0.0,242.940
0.286,1.200,0.000,0.000,0.0,243.840
1.376,7.200,0.000,0.000,0.0,243.110
2.456,10.000,0.048,0.000,0.0,241.980
2.456,10.000,0.048,0.000,0.0,242.010
2.444,10.000,0.046,0.000,0.0,241.380
2.122,9.200,0.048,0.000,0.0,240.910
0.356,1.400,0.070,0.000,0.0,242.130
0.952,5.600,0.062,0.000,0.0,241.500
2.426,10.000,0.000,0.000,0.0,240.450
2.420,10.000,0.000,0.000,0.0,240.350
2.412,10.000,0.000,0.000,0.0,240.650
1.008,5.400,0.000,0.000,0.0,242.350
0.430,1.800,0.000,0.000,0.0,243.400
2.676,11.400,0.088,0.000,0.0,240.690
3.766,15.600,0.208,0.000,0.0,239.130
4.582,19.600,0.258,13.000,0.0,238.080
5.282,22.400,0.150,35.000,0.0,237.380
2.362,10.400,0.096,28.000,0.0,241.350
3.250,13.600,0.084,37.000,0.0,240.950
4.618,19.600,0.104,27.000,0.0,239.610
5.242,21.800,0.178,37.000,0.0,239.490
4.860,20.200,0.198,36.000,0.0,239.650
3.738,16.000,0.238,36.000,0.0,240.390
3.426,14.400,0.256,37.000,0.0,240.310
5.254,22.000,0.214,35.000,0.0,238.150
5.246,22.000,0.230,36.000,0.0,237.910
5.216,22.000,0.210,36.000,0.0,237.440
3.858,16.600,0.240,36.000,0.0,238.520
2.822,11.800,0.188,36.000,0.0,239.550
3.840,16.600,0.164,35.000,0.0,238.270
4.636,19.400,0.140,36.000,0.0,237.370
4.634,19.400,0.152,35.000,0.0,237.170
4.652,19.400,0.142,36.000,0.0,237.920
3.130,14.600,0.130,26.000,0.0,239.820
1.756,7.600,0.050,24.000,0.0,241.180
3.478,15.000,0.000,36.000,0.0,239.840
4.500,18.800,0.000,36.000,0.0,239.040
3.552,14.800,0.000,21.000,0.0,240.290
3.940,16.600,0.000,28.000,0.0,239.190
2.440,10.000,0.000,37.000,0.0,240.800
2.080,9.000,0.000,28.000,0.0,241.610
3.652,15.200,0.000,22.000,0.0,240.110
4.432,18.400,0.000,36.000,0.0,239.350
4.460,18.600,0.000,36.000,0.0,240.080
2.186,10.000,0.124,17.000,0.0,242.070
2.358,9.800,0.124,33.000,0.0,241.540
3.954,16.800,0.098,36.000,0.0,239.840
3.746,15.600,0.106,25.000,0.0,240.360
3.944,16.600,0.098,25.000,0.0,239.790
3.680,15.800,0.102,36.000,0.0,239.550
1.670,7.200,0.130,24.000,0.0,242.210
3.214,14.600,0.118,26.000,0.0,241.920
4.500,18.600,0.000,36.000,0.0,240.420
3.800,15.800,0.000,26.000,0.0,241.780
2.664,11.200,0.000,23.000,0.0,243.310
2.528,10.400,0.122,37.000,0.0,242.920
2.668,11.600,0.140,18.000,0.0,241.800
4.256,17.800,0.184,30.000,0.0,240.290
4.126,17.600,0.244,28.000,0.0,240.610
3.216,15.000,0.270,31.000,0.0,242.140
0.574,2.600,0.302,5.000,0.0,243.880
2.344,10.800,0.272,16.000,0.0,241.490
3.804,16.200,0.244,23.000,0.0,240.340
4.622,19.200,0.240,37.000,0.0,239.590
3.218,13.800,0.250,16.000,0.0,240.380
0.774,4.200,0.294,5.000,0.0,242.430
0.572,2.600,0.300,5.000,0.0,243.550
1.952,9.000,0.282,5.000,0.0,242.330
2.608,10.800,0.188,4.000,0.0,241.860
2.600,10.600,0.134,5.000,0.0,242.140
2.568,10.600,0.132,5.000,0.0,241.970
1.334,7.000,0.148,5.000,0.0,242.140
0.362,1.600,0.124,3.000,0.0,244.330
1.238,6.600,0.100,1.000,0.0,245.860
2.448,10.000,0.088,2.000,0.0,244.840
2.426,9.800,0.082,1.000,0.0,244.830
1.794,8.400,0.098,2.000,0.0,245.800
0.288,1.200,0.118,1.000,0.0,247.650
0.608,3.800,0.120,1.000,0.0,247.490
2.426,9.800,0.082,2.000,0.0,244.730
2.442,10.000,0.088,1.000,0.0,244.900
2.428,9.800,0.084,1.000,0.0,244.770
0.674,4.400,0.116,2.000,0.0,247.470
0.306,1.400,0.128,1.000,0.0,248.480
2.090,9.000,0.094,2.000,0.0,247.010
2.508,10.200,0.134,1.000,0.0,246.120
2.228,9.400,0.126,1.000,0.0,246.320
0.308,1.400,0.108,0.000,0.0,248.010
0.290,1.200,0.102,0.000,0.0,248.200
2.442,10.000,0.072,1.000,0.0,245.610
2.514,10.200,0.156,0.000,0.0,245.290
2.506,10.200,0.202,0.000,0.0,243.750
0.388,1.800,0.234,0.000,0.0,246.170
0.538,3.200,0.242,0.000,0.0,246.940
2.496,10.200,0.142,0.000,0.0,245.350
2.470,10.000,0.100,1.000,0.0,244.970
2.448,10.000,0.096,0.000,0.0,244.970
0.820,5.000,0.126,0.000,0.0,246.170
0.308,1.400,0.130,0.000,0.0,247.300
2.450,10.000,0.102,0.000,0.0,244.960
2.432,9.800,0.092,0.000,0.0,244.200
2.444,10.000,0.098,0.000,0.0,243.930
1.970,8.800,0.100,0.000,0.0,244.350
0.256,1.200,0.000,1.000,0.0,246.640
0.508,3.600,0.000,0.000,0.0,246.700
2.370,9.600,0.000,0.000,0.0,244.700
2.352,9.600,0.000,0.000,0.0,245.050
2.140,9.000,0.000,0.000,0.0,246.520
0.212,0.800,0.000,0.000,0.0,248.940
0.992,5.800,0.000,1.000,0.0,247.330
2.362,9.600,0.000,0.000,0.0,245.390
2.384,9.600,0.000,0.000,0.0,245.710
1.928,8.400,0.000,0.000,0.0,246.100
0.218,1.000,0.000,0.000,0.0,249.370
0.656,4.400,0.000,1.000,0.0,249.070
2.398,9.600,0.000,0.000,0.0,247.310
2.412,9.600,0.000,0.000,0.0,247.260
1.672,7.800,0.000,0.000,0.0,245.950
0.226,1.000,0.000,0.000,0.0,246.160
1.632,7.800,0.000,0.000,0.0,244.510
2.352,9.600,0.000,1.000,0.0,243.910
2.328,9.400,0.046,0.000,0.0,243.680
0.732,4.600,0.000,0.000,0.0,244.570
0.206,0.800,0.000,0.000,0.0,245.980
2.332,9.600,0.000,0.000,0.0,244.320
2.390,9.800,0.000,0.000,0.0,244.510
2.476,10.000,0.100,1.000,0.0,244.840
0.604,3.800,0.126,0.000,0.0,247.150
0.380,1.800,0.178,0.000,0.0,246.590
1.774,8.400,0.210,0.000,0.0,244.520
2.520,10.400,0.202,0.000,0.0,243.430
2.542,10.400,0.214,0.000,0.0,244.060
2.228,9.800,0.294,4.000,0.0,245.050
0.590,2.600,0.316,4.000,0.0,247.120
